Document Title,Abstract,Year,PDF Link,label,code,time
Assessing the applicability of fault-proneness models across object-oriented software projects,"A number of papers have investigated the relationships between design metrics and the detection of faults in object-oriented software. Several of these studies have shown that such models can be accurate in predicting faulty classes within one particular software product. In practice, however, prediction models are built on certain products to be used on subsequent software development projects. How accurate can these models be, considering the inevitable differences that may exist across projects and systems? Organizations typically learn and change. From a more general standpoint, can we obtain any evidence that such models are economically viable tools to focus validation and verification effort? This paper attempts to answer these questions by devising a general but tailorable cost-benefit model and by using fault and design data collected on two mid-size Java systems developed in the same environment. Another contribution of the paper is the use of a novel exploratory analysis technique - MARS (multivariate adaptive regression splines) to build such fault-proneness models, whose functional form is a-priori unknown. The results indicate that a model built on one system can be accurately used to rank classes within another system according to their fault proneness. The downside, however, is that, because of system differences, the predicted fault probabilities are not representative of the system predicted. However, our cost-benefit model demonstrates that the MARS fault-proneness model is potentially viable, from an economical standpoint. The linear model is not nearly as good, thus suggesting a more complex model is required.",2002,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019484,yes,yes,1487371918.691433
A comprehensive empirical validation of design measures for object-oriented systems,"This paper aims at empirically exploring the relationships between existing object-oriented coupling, cohesion, and inheritance measures and the probability of fault detection in system classes during testing. The underlying goal of such a study is to better understand the relationship between existing design measurement in OO systems and the quality of the software developed. Results show that many of the measures capture similar dimensions in the data set, thus reflecting the fact that many of them are based on similar principles and hypotheses. Besides the size of classes, the frequency of method invocations and the depth of inheritance hierarchies seem to be the main driving factors of fault-proneness",1998,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=731251,yes,yes,1487371918.403117
Predicting fault-prone classes with design measures in object-oriented systems,"The paper aims at empirically exploring the relationships between existing object oriented coupling, cohesion, and inheritance measures and the probability of fault detection in system classes during testing. The underlying goal of such a study is to better understand the relationship between existing product measurement in OO systems and the quality of the software developed. It is shown that by using a subset of existing measures, accurate models can be built to predict in which classes most of the faults are likely to lie in. By inspecting 48% of the classes, it is possible to find 95% of the faults. Besides the size of classes, the frequency of method invocations and the depth of inheritance hierarchies seem to be the main driving factors of fault proneness",1998,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730898,yes,yes,1487371918.403114
Predicting fault-prone software modules in telephone switches,"An empirical study was carried out at Ericsson Telecom AB to investigate the relationship between several design metrics and the number of function test failure reports associated with software modules. A tool, ERIMET, was developed to analyze the design documents automatically. Preliminary results from the study of 130 modules showed that: based on fault and design data one can satisfactorily build, before coding has started, a prediction model for identifying the most fault-prone modules. The data analyzed show that 20 percent of the most fault-prone modules account for 60 percent of all faults. The prediction model built in this paper would have identified 20 percent of the modules accounting for 47 percent of all faults. At least four design measures can alternatively be used as predictors with equivalent performance. The size (with respect to the number of lines of code) used in a previous prediction model was not significantly better than these four measures. The Alberg diagram introduced in this paper offers a way of assessing a predictor based on historical data, which is a valuable complement to linear regression when prediction data is ordinal. Applying the method described in this paper makes it possible to use measures at the design phase to predict the most fault-prone modules",1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553637,yes,yes,1487371918.118545
Predicting fault incidence using software change history,"This paper is an attempt to understand the processes by which software ages. We define code to be aged or decayed if its structure makes it unnecessarily difficult to understand or change and we measure the extent of decay by counting the number of faults in code in a period of time. Using change management data from a very large, long-lived software system, we explore the extent to which measurements from the change history are successful in predicting the distribution over modules of these incidences of faults. In general, process measures based on the change history are more useful in predicting fault rates than product metrics of the code: For instance, the number of times code has been changed is a better indication of how many faults it will contain than is its length. We also compare the fault rates of code of various ages, finding that if a module is, on the average, a year older than an otherwise similar module, the older module will have roughly a third fewer faults. Our most successful model measures the fault potential of a module as the sum of contributions from all of the times the module has been changed, with large, recent changes receiving the most weight",2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=859533,yes,yes,1487371916.527531
Code churn: a measure for estimating the impact of code change,"This study presents a methodology that will produce a viable fault surrogate. The focus of the effort is on the precise measurement of software development process and product outcomes. Tools and processes for the static measurement of the source code have been installed and made operational in a large embedded software system. Source code measurements have been gathered unobtrusively for each build in the software evolution process. The measurements are synthesized to obtain the fault surrogate. The complexity of sequential builds is compared and a new measure, code churn, is calculated. This paper demonstrates the effectiveness of code complexity churn by validating it against the testing problem reports",1998,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=738486,yes,yes,1487371916.527527
Use of relative code churn measures to predict system defect density,"Software systems evolve over time due to changes in requirements, optimization of code, fixes for security and reliability bugs etc. Code churn, which measures the changes made to a component over a period of time, quantifies the extent of this change. We present a technique for early prediction of system defect density using a set of relative code churn measures that relate the amount of churn to other variables such as component size and the temporal extent of churn. Using statistical regression models, we show that while absolute measures of code chum are poor predictors of defect density, our set of relative measures of code churn is highly predictive of defect density. A case study performed on Windows Server 2003 indicates the validity of the relative code churn measures as early indicators of system defect density. Furthermore, our code churn metric suite is able to discriminate between fault and not fault-prone binaries with an accuracy of 89.0 percent.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553571,yes,yes,1487371916.399931
How good is your blind spot sampling policy,"Assessing software costs money and better assessment costs exponentially more money. Given finite budgets, assessment resources are typically skewed towards areas that are believed to be mission critical. This leaves blind spots: portions of the system that may contain defects which may be missed. Therefore, in addition to rigorously assessing mission critical areas, a parallel activity should sample the blind spots. This paper assesses defect detectors based on static code measures as a blind spot sampling method. In contrast to previous results, we find that such defect detectors yield results that are stable across many applications. Further, these detectors are inexpensive to use and can be tuned to the specifics of the current business situations.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1281737,yes,yes,1487371915.856622
Inheritance-based object-oriented software metrics,"There is no software metrics based on object-oriented programming languages (OOPLs) developed to help object-oriented software development. A graph-theoretical complexity metric to measure object-oriented software complexity is described. It shows that inheritance has a close relation with the object-oriented software complexity, and reveals that misuse of repeated (multiple) inheritance will increase software complexity and be prone to implicit software errors. An algorithm to support this software metric is presented. Its time complexity is O(<e1>n</e1><sup>3</sup>)",1992,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=271895,no,no,1487371926.829675
Modelling and analysing fault propagation in safety-related systems,"A formal specification for analysing and implementing multiple fault diagnosis software is proposed in this paper. The specification computes all potential fault sources that correspond to a set of triggered alarms for a safety-related system, or part of a system. The detection of faults occurring in a safety-related system is a fundamental function that needs to be addressed efficiently. Safety monitors for fault diagnosis have been extensively studied in areas such as aircraft systems and chemical industries. With the introduction of intelligent sensors, diagnosis results are made available to monitoring systems and operators. For complex systems composed of thousands of components and sensors, the diagnosis of multiple faults and the computational burden of processing test results are substantial. This paper addresses the multiple fault diagnosis problem for zero-time propagation using a fault propagation graph. Components represented as nodes in a fault propagation graph are allocated with alarms. When faults occur and are propagated some of these alarms are triggered. The allocation of alarms to nodes is based on a severity analysis performed using a form of failure mode and effect analysis on components in the system.",2003,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1270740,no,no,1487371926.829674
The feasibility of applying object-oriented technologies to operational flight software,"As object-oriented technologies move from the laboratory to the mainstream, companies are beginning to realize cost benefits in terms of software reuse and reduced development time. These benefits have been elusive to developers of real-time flight software. Issues such as processing latencies, validated performance of mission critical functions, and integration of legacy code have inhibited the effective use of object-oriented technologies in this domain. Emerging design languages, development tools, and processes offer the potential to address the application of object technologies to real-time operational flight software development. This paper examines emerging object-based technologies and assess their applicability to operational flight software. It includes an analysis that compares and contrasts the current Comanche software development process with one based on object-oriented concepts",2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=886959,no,no,1487371926.829673
Fault tolerant avionics display system,"Discusses the fault-tolerant requirements of avionics display systems, and an open architecture which permits implementing these requirements. The fault tolerant requirements include the classes of hardware and software faults. Within each class, the requirements are broken down into fault types the system must tolerate. The designers of both hardware and software must develop and integrated approach to implementing fault detection, damage assessment, fault isolation, and recovery for the fault types. Active matrix (AM) liquid crystal displays (LCDs) used with high-performance graphics and video processors provide the capability needed to achieve these fault-tolerant designs",1991,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=177198,no,no,1487371926.829672
Robustness and diagnosability of OO systems designed by contracts,"While there is a growing interest in component-based systems for industrial applications, little effort has so far been devoted to quality evaluation of these systems. This paper presents the definition of measures for two quality factors, namely robustness and â€œdiagnosabilityâ€?for the special case of object-oriented (OO) systems, for which thee approach known as design-by-contract has been used. The main steps in constructing these measures are given, from informal definitions of the factors to be measured to the mathematical model of the measures. To fix the parameters, experimental studies have been conducted, essentially based on applying mutation analysis in the OO context. Several measures are presented that reveal and estimate the contribution of the contracts' quality and density to the overall quality of a system in terms of robustness and diagnosability",2001,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=915535,no,no,1487371926.82967
Mapping tasks into fault tolerant manipulators,"The application of robots in critical missions in hazardous environments requires the development of reliable or fault tolerant manipulators. In this paper we define fault tolerance as the ability to continue the performance of a task after immobilization of a joint due to failure. Initially, no joint limits are considered, in which case we prove the existence of fault tolerant manipulators and develop an analysis tool to determine the fault tolerant work space. We also derive design templates for spatial fault tolerant manipulators. When joint limits are introduced, analytic solutions become infeasible but instead a numerical design procedure can be used, as is illustrated through an example",1994,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=351405,no,no,1487371926.829669
"Design, implementation and performance evaluation of a new digital distance relaying algorithm","This paper presents the design, simulation, implementation and performance evaluation of a computationally efficient and accurate digital distance relaying algorithm. Published historical data were used in the first phase for validation purpose. Sample results illustrating highly accurate fault impedance estimates for various conditions are reported. The second phase uses voltage and current signals generated by Alternative Transients Program (ATP) and a sample power system for various first-zone, second-zone and third-zone faults. Results of these studies confirming stability and computational efficiency of the algorithm are presented and discussed. In the third phase, a prototype of the relay was developed and tested using real-time fault data generated from physical models of the transmission lines. Oscillographs for these conditions were recorded. Results of these tests indicating high speed relay operation are also discussed. The performance evaluation studies reported in this paper conclusively demonstrate that the new algorithm provides fast and accurate fault impedance estimates for the three-zone protection of transmission lines",1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=486132,no,no,1487371926.829668
Mainframe Implementation With Off-The-Shelf LSI Modules,"Bit-sliced microprocessor parallel design for Sperry Univac 1108 improves performance, reduces build cost, and detects most faults.",1978,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1647039,no,no,1487371926.829666
Predicting maintainability with object-oriented metrics -an empirical comparison,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01287246.png"" border=""0"">",2003,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287246,no,no,1487371926.829662
Assessing usability through perceptions of information scent,Information scent is an establish concept for assessing how users interact with information retrieval systems. This paper proposes two ways of measuring user perceptions of information scent in order to assess the product quality of Web or Internet information retrieval systems. An empirical study is presented which validates these measures through an evaluation based on a live e-commerce application. This study shows a strong correlation between the measures of perceived scent and system usability. Finally the wider applicability of these methods is discussed.,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357919,no,no,1487371926.36014
Early metrics for object oriented designs,"To produce high quality object-oriented systems, a strong emphasis on the development process is necessary. This implies two implicit and complementary goals. First, to ensure a full control over the whole process, enabling accurate cost and delay estimation, resource efficient management, and a better overall understanding. Second, to improve quality all along the system lifecycle at development and maintenance stage. On the client side, a steady control over the development process implies a better detection and elimination of faults, raising the viability and usability of the system. This paper introduces a realistic example of metrics integration in the development process of object-oriented software. By addressing early stages of the design (ie. class diagram), we can anticipate design-level errors or warnings thus enabling a reduction of immediate and further costs and problems. Metrics used are issued from state of the art object-oriented research, and integrated in the widespread unified process of software development.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1428417,no,no,1487371926.360138
Relating operational software reliability and workload: results from an experimental study,"This paper presents some results from an experimental and analytical study to investigate the failure behavior of operational software for several types of workload. The authors are primarily interested in the so-called highly reliable software where enough evidence exists to indicate a lack of known faults. For purposes of this study, a â€œgoldâ€?version of a well known program was used in the experimental study. Judiciously selected errors were introduced, one at a time, and each mutated program was executed for three types of workload: constant; random; and systematically varying. Analytical analyses of the resulting failures were undertaken and are summarized here. The case when workload is random is of particular interest in this paper. An analytical model for the resulting failure phenomenon based on the Wald equation is found to give excellent results",1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=500658,no,no,1487371926.360137
Software fault tolerance for a flight control system,"The aim of software fault tolerance is to introduce programming techniques which will allow the embedded software to maintain performance in the presence of hardware faults which include data, address and control bus corruptions. A case study is described in which the navigation and control software of a remotely piloted vehicle (RPV) is subjected to such transient fault conditions. The embedded software was designed to detect and recover from such faults. Various aspects of the design, fault conditions, experimental setup and results are discussed",1989,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=82204,no,no,1487371926.360135
Prediction of software faults using fuzzy nonlinear regression modeling,"Software quality models can predict the risk of faults in modules early enough for cost-effective prevention of problems. This paper introduces the fuzzy nonlinear regression (FNR) modeling technique as a method for predicting fault ranges in software modules. FNR modeling differs from classical linear regression in that the output of an FNR model is a fuzzy number. Predicting the exact number of faults in each program module is often not necessary. The FNR model can predict the interval that the number of faults of each module falls into with a certain probability. A case study of a full-scale industrial software system was used to illustrate the usefulness of FNR modeling. This case study included four historical software releases. The first release's data were used to build the FNR model, while the remaining three releases' data were used to evaluate the model. We found that FNR modeling gives useful results",2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895473,no,no,1487371926.360134
Fault emulation: A new methodology for fault grading,"In this paper, we introduce a method that uses the field programmable gate array (FPGA)-based emulation system for fault grading. The real-time simulation capability of a hardware emulator could significantly improve the performance of fault grading, which is one of the most time consuming tasks in the circuit design and test process. We employ a serial fault emulation algorithm enhanced by two speed-up techniques. First, a set of independent faults can be injected and emulated at the same time. Second, multiple dependent faults can be simultaneously injected within a single FPGA-configuration by adding extra circuitry. Because the reconfiguration time of mapping the numerous faulty circuits into the FPGA's is pure overhead and could be the bottleneck of the entire process, using extra circuitry for injecting a large number of faults can reduce the number of FPGA-reconfigurations and, thus, improving the performance significantly. In addition, we address the issue of handling potentially detected faults in this hardware emulation environment by using the dual-railed logic. The performance estimation shows that this approach could be several orders of magnitude faster than the existing software approaches for large sequential designs",1999,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=790625,no,no,1487371926.360133
NFTAPE: a framework for assessing dependability in distributed systems with lightweight fault injectors,"Many fault injection tools are available for dependability assessment. Although these tools are good at injecting a single fault model into a single system, they suffer from two main limitations for use in distributed systems: (1) no single tool is sufficient for injecting all necessary fault models; (2) it is difficult to port these tools to new systems. NFTAPE, a tool for composing automated fault injection experiments from available lightweight fault injectors, triggers, monitors, and other components, helps to solve these problems. We have conducted experiments using NFTAPE with several types of lightweight fault injectors, including driver-based, debugger-based, target-specific, simulation-based, hardware-based, and performance-fault injections. Two example experiments are described in this paper. The first uses a hardware fault injector with a Myrinet LAN; the other uses a Software Implemented Fault Injection (SWIFI) fault injector to target a space-imaging application",2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=839467,no,no,1487371926.360131
A multiple-case study of software effort estimation based on use case points,"Through industry collaboration we have experienced an increasing interest in software effort estimation based on use cases. We therefore investigated one promising method, the use case points method, which is inspired by function points analysis. Four companies developed equivalent functionality, but their development processes varied, ranging from a light, code-and-fix process with limited emphasis on code quality, to a heavy process with considerable emphasis on analysis, design and code quality. Our effort estimate, which was based on the use case points method, was close to the actual effort of the company with the lightest development process; the estimate was 413 hours while actual effort of the four companies ranged from 431 to 943 hours. These results show, that the use case points method needs modification to better handle effort related to the development process and the quality of the code.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541849,no,no,1487371926.360129
Maintenance metrics for the object oriented paradigm,"Software metrics have been studied in the procedural paradigm as a quantitative means of assessing the software development process as well as the quality of software products. Several studies have validated that various metrics are useful indicators of maintenance effort in the procedural paradigm. However, software metrics have rarely been studied in the object oriented paradigm. Very few metrics have been proposed to measure object oriented systems, and the proposed ones have not been validated. This research concentrates on several object oriented software metrics and the validation of these metrics with maintenance effort in two commercial systems",1993,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=263801,no,no,1487371926.360127
An overview of the fault protection design for the attitude control subsystem of the Cassini spacecraft,"This paper describes Cassini's fault tolerance objectives, and how those objectives have influenced the design of its attitude control subsystem (ACS). Particular emphasis is placed on the architecture of the software algorithms that are used to detect, locate, and recover from ACS faults, and the integration of these algorithms into the rest of the object-oriented ACS flight software. The interactions of these ACS â€œfault protectionâ€?algorithms with Cassini's system-level fault protection algorithms is also described. We believe that the architecture of the ACS fault protection algorithms provides significant performance and operability improvements over the fault protection algorithms that have flown on previous interplanetary spacecraft",1998,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=703535,no,no,1487371926.360125
Design and development of a digital multifunction relay for generator protection,This paper presents the design and development of a rotor earth fault protection function as part of a multifunction generator protection relay. The relay design is based on a low frequency square wave injection method in detecting rotor earth faults. The accuracy of rotor earth fault resistance measurement is improved by applying piecewise quadratic approximation to the nonlinear gain characteristic of the measurement circuit. The paper also presents the hardware and software architecture of the relay,2001,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=929370,no,no,1487371925.8962
"Design, implementation and performance evaluation of a new digital distance relaying algorithm","This paper presents the design, simulation, implementation and performance evaluation of a computationally efficient and accurate digital distance relaying algorithm. Published historical data were used in the first phase for validation purposes. Sample results illustrating highly accurate fault impedance estimates for various conditions are reported. The second phase uses voltage and current signals generated by the Alternative Transients Program (ATP) and a sample power system for various first-zone, second-zone and third-zone faults. Results of these studies, confirming the stability and computational efficiency of the algorithm, are presented and discussed. In the third phase, a prototype of the relay was developed and tested using real-time fault data generated from physical models of the transmission lines. Oscillographs for these conditions were recorded. Results of these tests indicating high speed relay operation are also discussed. The performance evaluation studies reported in this paper conclusively demonstrate that the new algorithm provides fast and accurate fault impedance estimates for the three-zone protection of transmission lines",1995,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=515272,no,no,1487371925.896199
Process fault detection using constraint suspension,"In the paper the authors describe two tools for use in an intelligent fault-detection system. The first tool is a method for fault localisation, called constraint suspension, which helps us find and identify the parts suspension, which helps us find and identify the parts of the process which are responsible for any inconsistencies in the measurements. The second tool gives us a flexible framework in which we can build a software model of the process in terms of hierarchies of component parts or objects, it is called object orientation. We use these tools to describe algorithms for automatic fault detection in a physical process plant. The algorithms are tested on a simulation of a liquid level control system.",1987,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4642442,no,no,1487371925.896197
Design and implementation of a pluggable fault tolerant CORBA infrastructure,"In this paper we present the design and implementation of a Pluggable Fault Tolerant CORBA Infrastructure that provides fault tolerance for CORBA applications by utilizing the pluggable protocols framework that is available for most CORBA ORBS. Our approach does not require modification to the CORBA ORB, and requires only minimal modifications to the application. Moreover; it avoids the difficulty of retrieving and assigning the ORB state, by incorporating the fault tolerance mechanisms into the ORB. The Pluggable Fault Tolerant CORBA Infrastructure achieves performance that is similar to, or better than, that of other Fault Tolerant CORBA systems, while providing strong replica consistency.",2002,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1015513,no,no,1487371925.896196
Test case prioritization: a family of empirical studies,"To reduce the cost of regression testing, software testers may prioritize their test cases so that those which are more important, by some measure, are run earlier in the regression testing process. One potential goal of such prioritization is to increase a test suite's rate of fault detection. Previous work reported results of studies that showed that prioritization techniques can significantly improve rate of fault detection. Those studies, however, raised several additional questions: 1) Can prioritization techniques be effective when targeted at specific modified versions; 2) what trade-offs exist between fine granularity and coarse granularity prioritization techniques; 3) can the incorporation of measures of fault proneness into prioritization techniques improve their effectiveness? To address these questions, we have performed several new studies in which we empirically compared prioritization techniques using both controlled experiments and case studies",2002,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=988497,no,no,1487371925.896194
Substituting Voas's testability measure for Musa's fault exposure ratio,"This paper analyzes the relationship between Voas's (1991) software testability measure and Musa's (1987) fault exposure ratio, K. It has come to our attention that industrial users of Musa's model employ his published, experimental value for K, 4.2Ã—10<sup>-7</sup>, for their projects, instead of creating their own K estimate for the system whose reliability is being assessed. We provide a theoretical argument for how a slight modification to Voas's formulae for determining a predicted minimal fault size can provide a predicted average fault size. The predicted average fault size can be used as a substitute for 4.2Ã—10<sup>-7</sup>, and in our opinion is a more plausible choice for K",1996,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=542188,no,no,1487371925.896193
