Document Title,Abstract,Year,PDF Link,label
Hypoallergenicity of various miso pastes manufactured in Japan.,"Miso paste (miso), a fermented soybean food, is popular in Japan and other Asian countries. However, the soybean is known to induce an allergenic response in some individuals. In the present study, we evaluated the allergenicity of various kinds of miso available in Japan. Total proteins were extracted from Amakuti-kome miso, Karakuti-kome miso, Mugi-miso and Mame-miso, and the protein profiles were analyzed. The major protein bands detected in the intact soybean extract were not present in any of the miso samples, which instead showed various low molecular weight protein bands of approximately 10-25 kDa. The existence levels of six major soybean allergens were determined by Western blotting using specific antibodies. We found that the allergen levels varied among miso and allergen types however, allergen levels were consistently lower in miso than in the soybean extract. We obtained similar results for IgE-ELISA experiments using serum IgE from soybean allergy patients. Taken together, these results indicate that compared to soybean extract, various types of miso contain small quantities of intact soybean allergens. Additionally, several lines of evidence indicated that the allergen levels were exceptionally low in the dark-colored Karakuti-kome miso and Mame-miso, which are produced with relatively long fermentation periods, suggesting that the duration of fermentation might be a key factor in the hypoallergenicity of miso. ",2014,24418881,no
Differentiation of the emerging human pathogens Trichosporon asahii and Trichosporon asteroides from other pathogenic yeasts and moulds by using species-specific monoclonal antibodies.,"The fungal genus Trichosporon contains emerging opportunistic pathogens of humans, and is the third most commonly isolated non-candidal yeast from humans. Trichosporon asahii and T. asteroides are the most important species causing disseminated disease in immunocompromised patients, while inhalation of T. asahii spores is the most important cause of summer-type hypersensitivity pneumonitis in healthy individuals. Trichosporonosis is misdiagnosed as candidiasis or cryptococcosis due to a lack of awareness and the ambiguity of diagnostic tests for these pathogens. In this study, hybridoma technology was used to produce two murine monoclonal antibodies (MAbs), CA7 and TH1, for detection and differentiation of Trichosporon from other human pathogenic yeasts and moulds. The MAbs react with extracellular antigens from T. asahii and T. asteroides, but do not recognise other related Trichosporon spp., or unrelated pathogenic yeasts and moulds including Candida, Cryptococcus, Aspergillus, Fusarium, and Scedosporium spp., or the etiologic agents of mucormycosis. Immunofluorescence and Western blotting studies show that MAb CA7, an immunoglobulin G1 (IgG1), binds to a major 60 kDa glycoprotein antigen produced on the surface of hyphae, while TH1, an immunoglobulin M (IgM), binds to an antigen produced on the surface of conidia. The MAbs were used in combination with a standard mycological growth medium (Sabouraud Dextrose Agar) to develop an enzyme-linked immunosorbent assay (ELISA) for differentiation of T. asahii from Candida albicans and Cryptococcus neoformans in single and mixed species cultures. The MAbs represent a major advance in the identification of T. asahii and T. asteroides using standard mycological identification methods. ",2014,24392156,no
Prognostic value of serum galactomannan index in critically ill patients with chronic obstructive pulmonary disease at risk of invasive pulmonary aspergillosis.,"Critically ill chronic obstructive pulmonary disease (COPD) patients admitted to an intensive care unit (ICU) due to respiratory failure are at particularly high risk of Aspergillus infection. The serum galactomannan index (GMI) has proven to be one of the prognostic criteria for invasive pulmonary aspergillosis (IPA) in classical immunocompromised patients. However, the prognostic value of serum GMI in critically ill COPD patients needs evaluation. The purpose of this study is to investigate the prognostic value of serum GMI in patients with severe COPD.In this single-center prospective cohort study, serum samples for GMI assay were collected twice a week from the first day of ICU admission to the day of the patients' discharge or death. Patients were divided into two groups according to their clinical outcome on the 28th day of their ICU admission. Univariate analysis and survival analysis were tested in these two groups.One hundred and fifty-three critically ill COPD patients were included and were divided into survival group (106 cases) and non-survival group (47 cases) according to their outcome. Univariate analysis showed that the highest GMI level during the first week after admission (GMI-high 1st week) was statistically different between the two groups. Independent prognostic factors for poor outcome in severe COPD patients were: GMI-high 1st week >0.5 (RR: 4.04, 95% CI: 2.17-7.51) combined with accumulative dosage of corticosteroids >216 mg before the RICU admission (RR: 2.25, 95% CI: 1.11-4.56) and clearance of creatinine (Ccr) ≤ 64.31 ml/min (RR: 2.48, 95% CI: 1.22 ± 5.07).The positive GMI-high 1st week (>0.5) combined with an accumulative dosage of corticosteroids >216 mg before the ICU admission and a low Ccr may predicate a poor outcome of critically ill COPD patients.",2014,24384419,no
Cytoplasmic dynamics of the general nuclear import machinery in apically growing syncytial cells.,"Karyopherins are transporters involved in the bidirectional, selective and active transport of macromolecules through nuclear pores. Importin-β1 is the paradigm of karyopherins and, together with its cargo-adapter importin-α, mediates the general nuclear import pathway. Here we show the existence of different cellular pools of both importin-α and -β1 homologues, KapA and KapB, in the coenocytic ascomycete Aspergillus nidulans. Fluorescence analysis of haploid and diploid strains expressing KapB::GFP and/or KapA::mRFP showed patches of both karyopherins concurrently translocating long distances in apically-growing cells. Anterograde and retrograde movements allowed those patches to reach cell tips and distal regions with an average speed in the range of μm/s. This bidirectional traffic required microtubules as well as kinesin and dynein motors, since it is blocked by benomyl and also by the inactivation of the dynein/dynactin complex through nudA1 or nudK317 mutations. Deletion of Kinesin-3 motor UncA, required for the transport through detyrosinated microtubules, strongly inhibited KapA and KapB movement along hyphae. Overall, this is the first report describing the bidirectional dynamics of the main nuclear import system in coenocytic fungi. A functional link is proposed between two key cellular machines of the filamentous fungal cell: nuclear transport and the tip-growth apparatus. ",2014,24376868,no
Glucoamylase is a major allergen of Schizophyllum commune.,"Schizophyllum commune is one of the causative agents of basidiomycosis including disorders such as allergic bronchopulmonary mycosis, allergic fungal sinusitis, and mucoid impaction of bronchi, the incidence of those of which has been increasing. These mycoses are difficult to diagnose because only a limited number of diagnostic tools are currently available. The biggest problem is that no specific antigens of S. commune have been identified to enable serodiagnosis of the disease.In this study, we attempted to identify a major antigen of S. commune to establish a reliable serodiagnostic method.We used mass spectrometry to identify an antigen that reacted with the serum of a patient with allergic bronchopulmonary mycosis caused by S. commune. The protein was expressed in Escherichia coli, highly purified, and the patient sera IgG and IgE titres against the protein were determined by enzyme-linked immunosorbent assay.The protein identified as a major antigen of S. commune was named Sch c 1 it was a homolog of glucoamylase. The IgG and IgE titres against Sch c 1 in patient sera were significantly higher than those in healthy volunteer sera (P < 0.01).Sch c 1 is recognized by the host immune system of patients as an antigen/allergen. The purified glucoamylase Sch c 1 is a promising candidate antigen for the serodiagnosis of S. commune-induced mycosis.",2014,24372664,no
Proteomic demonstration of the recurrent presence of inter-alpha-inhibitor H4 heavy-chain during aspergillosis induced in an animal model.,"Invasive pulmonary aspergillosis remains a matter of great concern in oncology/haematology, intensive care units and organ transplantation departments. Despite the availability of various diagnostic tools with attractive features, new markers of infection are required for better medical care. We therefore looked for potential pulmonary biomarkers of aspergillosis, by carrying out two-dimensional (2D) gel electrophoresis comparing the proteomes of bronchial-alveolar lavage fluids (BALF) from infected rats and from control rats presenting non-specific inflammation, both immunocompromised. A bioinformatic analysis of the 2D-maps revealed significant differences in the abundance of 20 protein spots (ANOVA P-value<0.01 q-value<0.03",2014,24360996,no
PCR as a screening test for invasive aspergillosis in haematological patients: a pilot study.,"Invasive aspergillosis is a leading cause of morbidity and mortality in immunocompromised patients, particularly in individuals with haematological malignancy and in haematopoietic stem cell transplant recipients. Nowadays, the galactomannan (GM) assay has been widely used as an indication of invasive aspergillosis, even though the test is known to generate false-positive results. The aim of this study was to compare the performance of GM and real-time PCR (qPCR) to detected Aspergillus in blood samples obtained from high-risk haematological patients. Haematological patients were screened twice weekly with GM testing, which was performed by the Platelia ELISA kit. An additional sample of whole blood (4 ml) was obtained for the purpose of qPCR testing. Sixty-four samples from 12 patients with haematopoietic stem cell transplant or haematological malignancy were studied. The overall accordance between GM and qPCR tests was 96.9 % (62 samples). Only two samples showed contradictory results, with positive GM test and negative real-time PCR results. Based on the high concordance between GM and qPCR in terms of negative results, the main utility of qPCR could be in the confirmation of positive results seen with GM testing.",2014,24309908,no
Efficacy of the combination of voriconazole and caspofungin in experimental pulmonary aspergillosis by different Aspergillus species.,"Invasive pulmonary aspergillosis (IPA) caused by Aspergillus fumigatus, Aspergillus flavus, or Aspergillus niger is associated with high mortality. We evaluated the efficacy and compared the therapeutic effect differences of voriconazole (VRC) in combination with caspofungin (CAS) in transiently neutropenic rats infected by A. fumigatus, A. flavus, or A. niger.Treatment groups consisted of VRC (10 mg/kg q12 h) monotherapy, CAS (1 mg/kg/day) monotherapy, combination of VRC (10 mg/kg q12 h) + CAS (1 mg/kg/day), and no drug for 10 consecutive days. The efficacy and the difference in the treatments were evaluated through prolongation of survival, reduction in serum galactomannan levels and residual fungal burden, and histological studies.For all the strains, the combination of VRC and CAS led to significant prolongation in survival (P < 0.05) and reduction in residual fungal burden (P < 0.05) compared with CAS alone, and decrease in serum galactomannan levels (P < 0.05) compared with either agent alone. The survival in the combined therapy groups was significantly improved compared to VRC monotherapy for the strains of A. flavus and A. niger (P < 0.05), but no significant difference for the strains of A. fumigatus (P > 0.05).Combination of VRC and CAS was synergistic in IPA by A. flavus and A. niger, but small efficacy benefits in IPA by A. fumigatus.",2014,24306184,no
Pretransplant Aspergillus colonization of cystic fibrosis patients and the incidence of post-lung transplant invasive aspergillosis.,"Invasive aspergillosis (IA) is an important cause of morbidity and mortality among patients undergoing lung transplant. Cystic fibrosis-lung transplant recipients (CF-LTRs) may be at greater risk of IA following lung transplantation because of the presence of Aspergillus in their airways before transplantation. This study evaluated the impact of pretransplant Aspergillus colonization on the risk for IA among CF-LTRs.A single-center retrospective cohort study of CF-LTRs was conducted between 2006 and 2010. Respiratory tract cultures before transplantation were reviewed to identify patients with pretransplant Aspergillus colonization. Patients with positive Aspergillus sputum culture or positive bronchoalvelolar lavage (BAL) galactomannan after transplantation were classified as having colonization or disease according to the International Society of Heart and Lung Transplantation criteria.A total of 93 CF patients underwent lung transplantation. Seventy percent (65/93) of CF-LTRs had pretransplant Aspergillus colonization. Thirty-six patients had positive intraoperative Aspergillus culture from the native lung BAL. Overall, 22.5% (20/93) of CF-LTRs developed IA. Median time to IA was 42 days following transplantation. Positive intraoperative Aspergillus culture (OR 4.36, 95% CI 1.35-14.05, P=0.01) and treatment for acute cellular rejection within 90 days after transplantation (OR 3.53, 95% CI 1.03-12.15, P=0.05) were independent risk factors for IA. Antifungal prophylaxis was administered to 61% (57/93) of CF-LTRs. One-year mortality rate was 16% (15/93). IA was not associated with increased risk of death (OR 2.10, 95% CI 0.62-7.06, P=0.23).Pretransplant Aspergillus colonization is frequent among CF-LTRs and a positive intraoperative Aspergillus culture produced a fourfold higher risk of developing IA.",2014,24305637,no
Galactofuranose-coated gold nanoparticles elicit a pro-inflammatory response in human monocyte-derived dendritic cells and are recognized by DC-SIGN.,"Galactofuranose (Galf) is the five-membered ring form of galactose exclusively found in nonmammalian species, among which several are pathogens. To determine the putative role of this carbohydrate in host-pathogen interactions, we synthesized multivalent gold nanoparticles carrying Galf (Galf-GNPs) and show that they are recognized by the EB-A2 antibody, which is widely used to detect Galf-containing galactomannan in the serum of Aspergillosis patients. We demonstrated that human monocyte-derived dendritic cells bound Galf-GNPs via interaction with the lectin DC-SIGN. Moreover, interaction of dendritic cells with Galf-GNPs resulted in increased expression of several maturation markers on these cells and induced secretion of the pro-inflammatory cytokines IL-6 and TNF-α. These data indicate that Galf is able to modulate the innate immune response via dendritic cells. In conclusion, Galf-GNPs are a versatile tool that can be applied in multiple functional studies to gain a better understanding of the role of Galf in host-pathogen interaction. ",2014,24304188,no
Interactions between carboxymethyl konjac glucomannan and soy protein isolate in blended films.,"To elucidate biopolymer interactions between carboxymethyl konjac glucomannan (CMKGM) and soy protein isolate (SPI) in different ratios on physicochemical properties of the blended films, biodegradable CMKGM/SPI films were prepared and characterized. The results showed that CMKGM and SPI are highly compatible in blended film formation, and that Maillard reactions and hydrogen bonds interactions between CMKGM and SPI occurred. The water adsorption of the CMKGM/SPI films progressively decreased with increasing CMKGM level, the surface wettability of the blended films was improved with increasing CMKGM content the CMKGM/SPI blend films had enhanced tensile strength (TS) and elongation at break (EAB) compared to pure CMKGM and SPI films",2014,24299758,no
Proven invasive pulmonary mucormycosis successfully treated with amphotericin B and surgery in patient with acute myeloblastic leukemia: a case report.,"Invasive mucormycosis (zygomycosis) is the third most frequent fungal infection in patients with hematologic malignancies. It often results in a fatal outcome mainly due to the difficulty of early diagnosis and its resistance to antimycotics.A 52-year-old Caucasian man was diagnosed with acute myeloblastic leukemia. Following the induction chemotherapy he developed febrile neutropenia. Meropenem (3×1000mg/day) was introduced empirically. A chest computed tomography showed soft-tissue consolidation change in his right upper lobe. A bronchoscopy was performed and the histology indicated invasive pulmonary aspergillosis based on fungal hypha detection. Also, high risk patients are routinely screened for invasive fungal infections using commercially available serological enzyme-linked immunosorbent assay tests: galactomannan and mannan (Bio-Rad, France), as well as anti-Aspergillus immunoglobulin G and/or immunoglobulin M and anti-Candida immunoglobulin G and/or immunoglobulin M antibodies (Virion-Serion, Germany). Galactomannan showed low positivity and voriconazole therapy (2×400mg/first day 2×300mg/following days) was implemented. The patient became afebrile and a partial remission of disease was established. After 2 months, the patient developed a fever and a chest multi-slice computed tomography showed soft-tissue mass compressing his upper right bronchus. Voriconazole (2×400mg/first dayInvasive mucormycosis was successfully treated with amphotericin B, surgery and secondary itraconazole prophylaxis. As a rare disease invasive mucormycosis is not well understood by the medical community and therefore an improvement of education about prevention, diagnosis and treatment of invasive mucormycosis is necessary.",2013,24299522,no
Chronic pulmonary aspergillosis.,"Chronic pulmonary aspergillosis (CPA) is a group of consuming diseases usually presenting with prolonged and relapsing cough, dyspnoea and weight loss. Acute symptoms such as haemoptysis and bronchial or pulmonary haemorrhage may occasionally occur. CPA affects patients with underlying pulmonary conditions, for example, chronic obstructive pulmonary disease or mycobacteriosis or common immunosuppressive conditions such as diabetes. Precise epidemiology is unknown, and while prevalence is considered low the chronic and relapsing nature of the disease challenges the treating physician. Diagnostics largely rely on serologic Aspergillus precipitins and findings on thoracic computed tomography. The latter are manifold comprising cavity formation, pleural involvement and sometimes aspergilloma. Other markers for aspergillosis are less helpful, in part due to the non- or semi-invasive nature of these forms of Aspergillus infection. Various antifungals were shown to be effective in CPA treatment. Azoles are the most frequently applied antifungals in the outpatient setting, but are now compromised by findings of Aspergillus resistance. Long-term prognosis is not fully elucidated and may be driven by the underlying morbidities. Prospective registry-type studies may be suitable to systematically broaden our CPA knowledge base. This article gives an overview of the available literature and proposes a clinical working algorithm for CPA management. ",2014,24299422,no
