Document Title,Year,Abstract,PDF Link,label
Motion estimation and temporal up-conversion on the TM3270 media-processor,2006,"We present a qualitative performance evaluation of several components of a video format conversion algorithm (referred to as natural motion (NM)). The implementation platform is a new programmable media-processor, the TM3270, combined with dedicated hardware support. The performance of two compute-intense NM components, motion estimation (ME) and temporal up-conversion (TU), is evaluated. The impact of new TM3270 features, such as new video-processing operations and data prefetching, is quantified. We show that a real-time implementation of the ME and TU algorithms is achievable in a fraction of the available compute performance, when operating on standard definition video",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598437,no
Optimal project feature weights in analogy-based cost estimation: improvement and limitations,2006,"Cost estimation is a vital task in most important software project decisions such as resource allocation and bidding. Analogy-based cost estimation is particularly transparent, as it relies on historical information from similar past projects, whereby similarities are determined by comparing the projects' key attributes and features. However, one crucial aspect of the analogy-based method is not yet fully accounted for: the different impact or weighting of a project's various features. Current approaches either try to find the dominant features or require experts to weight the features. Neither of these yields optimal estimation performance. Therefore, we propose to allocate separate weights to each project feature and to find the optimal weights by extensive search. We test this approach on several real-world data sets and measure the improvements with commonly used quality metrics. We find that this method 1) increases estimation accuracy and reliability, 2) reduces the model's volatility and, thus, is likely to increase its acceptance in practice, and 3) indicates upper limits for analogy-based estimation quality as measured by standard metrics.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1599418,no
Semi-Automatic Business Process Performance Optimization Based On Redundant Control Flow Detection,2006,"Composite web services are often defined in terms of business processes. Therefore, their performance depends on the effectiveness of the said processes. This paper describes an approach allowing for business process performance optimization that eventually leads to improved composite web service performance. The approach is based on the discovery of the redundant control flow. It is argued that such is the flow which is not backed up by data flow. After detection, redundant control flow is replaced with nonredundant.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1602279,no
Evaluating architectural stability using a metric-based approach,2006,Architectural stability refers to the extent software architecture is flexible to endure evolutionary changes while leaving the architecture intact. Approaches to evaluate software architectures for stability can be retrospective or predictive. Retrospective evaluation looks at successive releases of a software system to analyze how smoothly the evolution has taken place. Predictive evaluation examines a set of likely changes and shows the architecture can endure these changes. This paper proposes a metric-based approach to evaluate architectural stability of a software system by combining these two traditional analysis techniques. Such an approach performs on the fact bases extracted from the source code by reverse engineering techniques. We also present experimental results by applying the proposed approach to analyze the architectural stability across different versions of two spreadsheet systems,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1602377,no
Non-intrusive monitoring of software quality,2006,"Measurement based software process improvement needs a non-intrusive approach to determine what and where improvement is needed without knowing anything about the methods and techniques used during project execution. Beside, it is necessary for obtaining successful business management, an accurate process behavior prediction. In order to obtain these results we proposed to use statistical process control (SPC) tailored to the software process point of view. The paper proposes an appropriate SPC-Framework and presents two industrial experiences in order to validate the framework in two different software contexts: recalibration of effort estimation models; monitoring of the primary processes through the supporting ones. These experiences validate the framework and show how it can be successfully used as a decision support tool in software process improvement",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1602387,no
Software test cases: is one ever enough?,2006,"In this paper, software testing theory was examined as it pertains to one test at a time. In doing so, the author hopes to highlight some useful facts about testing theory that are somewhat obvious but often overlooked. Some precise statements about how bad the one-test policy can be were also made",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603473,no
Study for Classification of Quality Attributes in Argentinean ECommerce Sites,2006,"This work starts with results obtained in [4] where quality attributes to be considered in operative web projects were analyzed and evaluated, mainly for the ""Functionality and Content"" feature of sites and applications of electronic commerce (e-commerce). The evaluation process applied to sites from the studies of 2000 and 2004 [2,4] produced a concentrated binary matrix, which has been processed in previous works [3] with multivariate approaches that in turn have provided useful information that allowed the identification of a precise relationship between attributes. Aiming to obtain a group of quality attributes where it is possible to identify inter-relations or common features between the variables that compose each class, the binary table from the previous study has been revisited, and has been processed with statistical cluster analysis. Ultimately, hypothesis tests are proposed to infer the behavior of the population of Argentinean e-commerce sites.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1604743,no
Mission dependability modeling and evaluation of repairable systems considering maintenance capacity,2006,"The mission dependability of repairable systems not only depends on mission reliability and capacity of the system, but also the maintenance capacity during the whole mission. The probability of mission successful completion is one of the important performance measures. For the complex mission that has many sub-missions of kinds, its success probability is associated with the ready and execution duration, maintenance conditions in the working field and success requirements of each sub-mission. Maintenance conditions in the sub-mission working field mainly include replacement and repair of the failed components. According to these different maintenance conditions, we classify all sub-mission into three classes. By analyzing the state transition during the ready period and execution period of each sub-mission, this paper presents a dependability model to evaluate the probability of mixed multi-mission success of repairable systems considering maintenance capacity. A simple example is provided to show the application of the model",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1607382,no
A routing methodology for achieving fault tolerance in direct networks,2006,"Massively parallel computing systems are being built with thousands of nodes. The interconnection network plays a key role for the performance of such systems. However, the high number of components significantly increases the probability of failure. Additionally, failures in the interconnection network may isolate a large fraction of the machine. It is therefore critical to provide an efficient fault-tolerant mechanism to keep the system running, even in the presence of faults. This paper presents a new fault-tolerant routing methodology that does not degrade performance in the absence of faults and tolerates a reasonably large number of faults without disabling any healthy node. In order to avoid faults, for some source-destination pairs, packets are first sent to an intermediate node and then from this node to the destination node. Fully adaptive routing is used along both subpaths. The methodology assumes a static fault model and the use of a checkpoint/restart mechanism. However, there are scenarios where the faults cannot be avoided solely by using an intermediate node. Thus, we also provide some extensions to the methodology. Specifically, we propose disabling adaptive routing and/or using misrouting on a per-packet basis. We also propose the use of more than one intermediate node for some paths. The proposed fault-tolerant routing methodology is extensively evaluated in terms of fault tolerance, complexity, and performance.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608003,no
Performance analysis of the FastICA algorithm and Crame´r-rao bounds for linear independent component analysis,2006,"The FastICA or fixed-point algorithm is one of the most successful algorithms for linear independent component analysis (ICA) in terms of accuracy and computational complexity. Two versions of the algorithm are available in literature and software: a one-unit (deflation) algorithm and a symmetric algorithm. The main result of this paper are analytic closed-form expressions that characterize the separating ability of both versions of the algorithm in a local sense, assuming a ""good"" initialization of the algorithms and long data records. Based on the analysis, it is possible to combine the advantages of the symmetric and one-unit version algorithms and predict their performance. To validate the analysis, a simple check of saddle points of the cost function is proposed that allows to find a global minimum of the cost function in almost 100% simulation runs. Second, the Crame´r-Rao lower bound for linear ICA is derived as an algorithm independent limit of the achievable separation quality. The FastICA algorithm is shown to approach this limit in certain scenarios. Extensive computer simulations supporting the theoretical findings are included.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608537,no
"Electronics at Nanoscale: Fundamental and Practical Challenges, and Emerging Directions",2006,"In electronics, i.e. when using charge transport and change of electromagnetic fields in devices and systems, non-linearity, collective effects, and a hierarchy of design across length and time scales is central to efficient information processing through manipulation and transmission of bits. Silicon-based electronics brings together a systematic interdependent framework that connects software and hardware to reproducibility, speed, power, noise margin, reliability, signal restoration and communication, low defect count, and an ability to do predictive design across the scales. In the limits of nanometer scale, the dominant practical constraints arise from power dissipation in ever smaller volumes and of efficient signal interconnectivity commensurate with the large density of devices. These limitations are tied to the physical basis in charge transport and changes of fields, and equally apply to other materials �?hard, soft or molecular. At the largest scale, the limitations arise from partitioning and hierarchical apportionment for system performance, ease of design and manufacturing. Power management, behavioral encapsulation, fault tolerance, congestion avoidance, timing, placement, routing, electromagnetic cross-talk, etc. all need to be addressed from the perspective of centimeter scale. We take a hierarchical view of the underlying fundamental and practical challenges of the conventional and unconventional approaches using the analytic framework appropriate to the length scale to distinguish between fact and fantasy, and to point to practical emerging directions with a system-scale perspective.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1609776,no
Agent-based self-healing protection system,2006,"This paper proposes an agent-based paradigm for self-healing protection systems. Numerical relays implemented with intelligent electronic devices are designed as a relay agent to perform a protective relaying function in cooperation with other relay agents. A graph-theory-based expert system, which can be integrated with supervisory control and a data acquisition system, has been developed to divide the power grid into primary and backup protection zones online and all relay agents are assigned to specific zones according to system topological configuration. In order to facilitate a more robust, less vulnerable protection system, predictive and corrective self-healing strategies are implemented as guideline regulations of the relay agent, and the relay agents within the same protection zone communicate and cooperate to detect, locate, and trip fault precisely with primary and backup protection. Performance of the proposed protection system has been simulated with cascading fault, failures in communication and protection units, and compared with a coordinated directional overcurrent protection system.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1610669,no
PET reconstruction with system matrix derived from point source measurements,2006,"The quality of images reconstructed by statistical iterative methods depends on an accurate model of the relationship between image space and projection space through the system matrix. The elements of a system matrix on the HiRez scanner from CPS Innovations were acquired by positioning a point source at different positions in the scanner field of view. Then, a whole system matrix was derived by processing the responses in projection space. Such responses included both geometrical and detection physics components of the system matrix. The response was parameterized to correct for point source location, smooth projection noise and the whole system matrix was derived. The model accounts for axial compression (span) used on the scanner. The projection operator for iterative reconstruction was constructed using the estimated response parameters. Computer-generated and acquired data were used to compare reconstruction obtained by the HiRez standard software and that produced by better modeling. Results showed that better resolution and noise property can be achieved with the modeled system matrix.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1610966,no
Software-based transparent and comprehensive control-flow error detection,2006,"Shrinking microprocessor feature size and growing transistor density may increase the soft-error rates to unacceptable levels in the near future. While reliable systems typically employ hardware techniques to address soft-errors, software-based techniques can provide a less expensive and more flexible alternative. This paper presents a control-flow error classification and proposes two new software-based comprehensive control-flow error detection techniques. The new techniques are better than the previous ones in the sense that they detect errors in all the branch-error categories. We implemented the techniques in our dynamic binary translator so that the techniques can be applied to existing x86 binaries transparently. We compared our new techniques with the previous ones and we show that our methods cover more errors while has similar performance overhead.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1611552,no
Algorithmic implementation and efficiency maintenance of real-time environment using low-bitrate wireless communication,2006,"This paper presents different issues of the real-time compression algorithms without compromising the video quality in the distributed environment. The theme of this research is to manage the critical processing stages (speed, information lost, redundancy, distortion) having better encoded ratio, without the fluctuation of quantization scale by using IP configuration. In this paper, different techniques such as distortion measure with searching method cover the block phenomenon with motion estimation process while passing technique and floating measurement is configured by discrete cosine transform (DCT) to reduce computational complexity which is implemented in this video codec. While delay of bits in encoded buffer side especially in real-time state is being controlled to produce the video with high quality and maintenance a low buffering delay. Our results show the performance accuracy gain with better achievement in all the above processes in an encouraging mode",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1611718,no
Influence of adaptive data layouts on performance in dynamically changing storage environments,2006,"For most of today's IT environments, the tremendous need for storage capacity in combination with a required minimum I/O performance has become highly critical. In dynamically growing environments, a storage management solution's underlying data distribution scheme has great impact to the overall system I/O performance. The evaluation of a number of open system storage visualization solutions and volume managers has shown that all of them lack the ability to automatically adapt to changing access patterns and storage infrastructures; many of them require an error prone manual re-layout of the data blocks, or rely on a very time consuming re-striping of all available data. This paper evaluates the performance of conventional data distribution approaches compared to the adaptive virtualization solution V:DRIVE in dynamically changing storage environments. Changes of the storage infrastructure are normally not considered in benchmark results, but can have a significant impact on storage performance. Using synthetic benchmarks, V:DRIVE is compared in such changing environments with the non-adaptive Linux logical volume manager (LVM). The performance results of our tests clearly outline the necessity of adaptive data distribution schemes.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613268,no
A framework to support run-time assured dynamic reconfiguration for pervasive computing environments,2006,"With the increasing use of pervasive computing environments (PCEs), developing dynamic reconfigurable software in such environments becomes an important issue. The ability to change software components in running systems has advantages such as building adaptive, long-life, and self-reconfigurable software as well as increasing invisibility in PCEs. As dynamic reconfiguration is performed in error-prone wireless mobile systems frequently, it can threaten system safety. Therefore, a mechanism to support assured dynamic reconfiguration at run-time for PCEs is required. In this paper, we propose an assured dynamic reconfiguration framework (ADRF) with emphasis on assurance analysis. The framework is implemented and is available for further research. To evaluate the framework, an abstract case study including reconfigurations has been applied using our own developed simulator for PCEs. Our experience shows that ADRF properly preserves reconfiguration assurance.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613631,no
Will Johnny/Joanie Make a Good Software Engineer? Are Course Grades Showing the Whole Picture?,2006,"Predicting future success of students as software engineers is an open research area. We posit that current grading means do not capture all the information that may predict whether students will become good software engineers. We use one such piece of information, traceability of project artifacts, to illustrate our argument. Traceability has been shown to be an indicator of software project quality in industry. We present the results of a case study of a University of Waterloo graduate-level software engineering course where traceability was examined as well as course grades (such as mid-term, project grade, etc.). We found no correlation between the presence of good traceability and any of the course grades, lending support to our argument",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1617344,no
Software Defect Prediction Using Regression via Classification,2006,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01618375.png"" border=""0"">",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1618375,no
Toward trustworthy software systems,2006,"Organizations such as Microsoft's Trusted Computing Group and Sun Microsystems' Liberty Alliance are currently leading the debate on ""trustworthy computing."" However, these and other initiatives primarily focus on security, and trustworthiness depends on many other attributes. To address this problem, the University of Oldenburg's TrustSoft Graduate School aims to provide a holistic view of trustworthiness in software - one that considers system construction, evaluation/analysis, and certification - in an interdisciplinary setting. Component technology is the foundation of our research program. The choice of a component architecture greatly influences the resulting software systems' nonfunctional properties. We are developing new methods for the rigorous design of trustworthy software systems with predictable, provable, and ultimately legally certifiable system properties. We are well aware that it is impossible to build completely error-free complex software systems. We therefore complement fault-prevention and fault-removal techniques with fault-tolerance methods that introduce redundancy and diversity into software systems. Quantifiable attributes such as availability, reliability, and performance call for analytical prediction models, which require empirical studies for calibration and validation. To consider the legal aspects of software certification and liability, TrustSoft integrates the disciplines of computer science and computer law.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1621008,no
Detecting anomaly and failure in Web applications,2006,"Improving Web application quality will require automated evaluation tools. Many such tools are already available either as commercial products or research prototypes. The authors use their automated evaluation tools, ReWeb and TestWeb, for Web analysis and testing that improves Web pages and applications and to find some anomalies and failures in four case studies.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1621033,no
Effects of hardware imperfection on six-port direct digital receivers calibrated with three and four signal standards,2006,"Online calibration is essential for the proper operation of six-port digital receivers in communication systems, as such calibration cancels out receiver ageing and manufacturing defects. Simple calibration methods, using only three or four signal standards (SS), were reported in a previous paper, where these methods were assessed using an ADS software simulation for an ideal six-port circuit. A unified and general theory is presented for examining the effects of hardware imperfection on the performance of a six-port receiver (SPR) calibrated using these simplified techniques. This can be used to establish permissible hardware tolerances for proper operation of SPRs in different digital modulations.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1621518,no
Monitoring Computer Interactions to Detect Early Cognitive Impairment in Elders,2006,Maintaining cognitive performance is a key factor influencing elders' ability to live independently with a high quality of life. We have been developing unobtrusive measures to monitor cognitive performance and potentially predict decline using information from routine computer interactions in the home. Early detection of cognitive decline offers the potential for intervention at a point when it is likely to be more successful. This paper describes recommendations for the conduct of studies monitoring cognitive function based on routine computer interactions in elders' home environments,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1624801,no
Reliability forecasting in complex hardware/software systems,2006,"We describe a class of models used to evaluate and forecast the reliability of complex hardware/software systems. We assume the system may be described through a reliability block diagram. Blocks referring to hardware components are dealt with 'pending' continuous time Markov chain models, whereas blocks referring to software components are dealt with 'pending' software reliability growth models. Inference and forecasting tasks with such models are described.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1625324,no
A methodological framework for conceptual modeling of optical networks,2006,"We present a methodological framework for conceptual modeling of optical networks. The framework is targeted towards a larger scale initiative by us for designing a unified modeling language (UML) profile that can help with conceptual modeling of typical optical network design problems. While there are pieces of literature available that describe profiles for other application areas, there are no profiles for use in networking problems, in general. Our work is an important step forward to address this deficiency. Our proposed profile takes the existing UML notations and extends them to support the modeling of optical networks",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1625548,no
An efficient low complexity encoder for MPEG advanced audio coding,2006,"MPEG advanced audio coding (AAC) is the current state of the art in perceptual audio coding technology standardized by MPEG. Nevertheless the real-time constraint of reference software implementation for the AAC encoder provided by MPEG leads to a heavy computational bottleneck on today's portable devices. In this paper we review briefly the algorithms specified in the MPEG AAC standard and analyze the algorithmic performance. Then we carry out algorithm level optimizations in order to get a low complexity as well as high quality audio encoder that can be easily ported onto multiple platforms. In psychoacoustic model, a MDCT-based psychoacoustic analysis and block switching algorithm in time domain and a tonality detection measure are presented. Moreover, we employ improved pre-processing and adjustment of scale factor in quantization module. Experimental results show the optimized encoder can save about half of overall computational complexity. According to subject evaluation result, the perceptual audio quality of improved encoder is better than the AAC LC reference encoder",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1625874,no
Design of a smart sensor for load insulation failure detection in DC supply system of UAV,2006,"This paper introduces an embedded smart sensor in the DC supply system of an unmanned aerial vehicle (UAV) based on AT89C2051, which can measure load insulation failure in direct current supply system. The measuring principles are analyzed first in this paper and the system design schemes of software and hardware are given out as well. Finally, the measure error has been analyzed and counted. This sensor possesses characteristics of low-cost, low-power consumption, high measurement precision, and high reliability. Practical experiments show that the sensor system, of which the measurement precision achieves 0.01mA, could meet the demands of detection accuracy, achieve the expected criteria of design, and could be spread",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1627541,no
SHARP: a new real-time scheduling algorithm to improve security of parallel applications on heterogeneous clusters,2006,"This paper addresses the problem of improving quality of security for real-time parallel applications on heterogeneous clusters. We propose a new security- and heterogeneity-driven scheduling algorithm (SHARP for short), which strives to maximize the probability that parallel applications are executed in time without any risk of being attacked. Because of high security overhead in existing clusters, an important step in scheduling is to guarantee jobs' security requirements while minimizing overall execution times. The SHARP algorithm accounts for security constraints in addition to different processing capabilities of each node in a cluster. We introduce two novel performance metrics, degree of security deficiency and risk-free probability, to quantitatively measure quality of security provided by a heterogeneous cluster. Both security and performance of SHARP are compared with two well-known scheduling algorithms. Extensive experimental studies using real-world traces confirm that the proposed SHARP algorithm significantly improves security and performance of parallel applications on heterogeneous clusters",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1629388,no
A QoS-negotiable middleware system for reliably multicasting messages of arbitrary size,2006,"E-business organizations commonly trade services together with quality of service (QoS) guarantees that are often dynamically agreed upon prior to service provisioning. Violating agreed QoS levels incurs penalties and hence service providers agree to QoS requests only after assessing the resource availability. Thus the system should, in addition to providing the services: (i) monitor resource availability, (ii) assess the affordability of a requested QoS level, and (iii) adapt autonomically to QoS perturbations which might undermine any assumptions made during assessment. This paper will focus on building such a system for reliably multicasting messages of arbitrary size over a loss-prone network of arbitrary topology such as the Internet. The QoS metrics of interest will be reliability, latency and relative latency. We meet the objectives (i)-(iii) by describing a network monitoring scheme, developing two multicast protocols, and by analytically estimating the achievable latencies and reliability in terms of controllable protocol parameters. Protocol development involves extending in two distinct ways an existing QoS-adaptive protocol designed for a single packet. Analytical estimation makes use of experimentally justified approximations and their impact is evaluated through simulations. As the protocol extension approaches are complementary in nature, so are the application contexts they are found best suited to; e.g., one is suited to small messages while the other to large messages",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1630487,no
Exploit failure prediction for adaptive fault-tolerance in cluster computing,2006,"As the scale of cluster computing grows, it is becoming hard for long-running applications to complete without facing failures on large-scale clusters. To address this issue, checkpointing/restart is widely used to provide the basic fault-tolerant functionality, yet it suffers from high overhead and its reactive characteristic. In this work, we propose FT-Pro, an adaptive fault management mechanism that optimally chooses migration, checkpointing or no action to reduce the application execution time in the presence of failures based on the failure prediction. A cost-based evaluation model is presented for dynamic decision at run-time. Using the actual failure log from a production cluster at NCSA, we demonstrate that even with modest failure prediction accuracy, FT-Pro outperforms the traditional checkpointing/restart strategy by 13%-30% in terms of reducing the application execution time despite failures, which is a significant performance improvement for long-running applications.",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1630866,no
